,United Kingdom
2021-02-22,-99.72571428571428
2021-02-23,-99.72999999999999
2021-02-24,-99.71857142857142
2021-02-25,-99.69857142857143
2021-02-26,-99.65857142857143
2021-02-27,-99.62571428571427
2021-02-28,-99.59714285714286
2021-03-01,-99.59428571428573
2021-03-02,-99.59142857142857
2021-03-03,-99.57857142857142
2021-03-04,-99.58428571428571
2021-03-05,-99.61
2021-03-06,-99.64
2021-03-07,-99.67428571428572
2021-03-08,-99.68857142857144
2021-03-09,-99.67857142857143
2021-03-10,-99.69571428571429
2021-03-11,-99.69285714285715
2021-03-12,-99.69571428571429
2021-03-13,-99.69571428571429
2021-03-14,-99.55857142857143
2021-03-15,-99.54857142857144
2021-03-16,-99.55857142857144
2021-03-17,-99.55285714285715
2021-03-18,-99.5642857142857
2021-03-19,-99.56428571428572
2021-03-20,-99.57285714285715
2021-03-21,-99.71714285714286
2021-03-22,-99.71714285714286
2021-03-23,-99.70857142857142
2021-03-24,-99.71714285714286
2021-03-25,-99.71857142857142
2021-03-26,-99.72571428571428
2021-03-27,-99.74000000000001
2021-03-28,-99.74714285714286
2021-03-29,-99.73857142857142
2021-03-30,-99.74857142857142
2021-03-31,-99.7357142857143
2021-04-01,-99.70714285714287
2021-04-02,-99.69000000000001
2021-04-03,-99.68142857142857
2021-04-04,-99.66428571428571
2021-04-05,-99.64428571428572
2021-04-06,-99.63857142857144
2021-04-07,-99.64714285714285
2021-04-08,-99.66428571428571
2021-04-09,-99.66857142857144
2021-04-10,-99.67428571428572
2021-04-11,-99.67142857142858
2021-04-12,-88.40428571428572
2021-04-13,-80.30285714285715
2021-04-14,-72.30428571428571
2021-04-15,-64.76857142857143
2021-04-16,-55.64142857142857
2021-04-17,-47.075714285714284
2021-04-18,-38.24571428571428
2021-04-19,-42.67714285714286
2021-04-20,-41.04714285714285
2021-04-21,-40.19285714285714
2021-04-22,-38.63285714285714
2021-04-23,-38.362857142857145
2021-04-24,-38.07285714285714
2021-04-25,-37.82857142857143
2021-04-26,-35.925714285714285
2021-04-27,-37.74
2021-04-28,-38.97428571428571
2021-04-29,-39.19142857142857
2021-04-30,-38.05428571428571
2021-05-01,-36.779999999999994
2021-05-02,-34.96285714285714
2021-05-03,-34.988571428571426
2021-05-04,-36.16285714285714
2021-05-05,-35.99857142857143
2021-05-06,-36.41142857142857
2021-05-07,-36.58142857142857
2021-05-08,-38.99714285714286
2021-05-09,-38.33
2021-05-10,-39.45428571428572
2021-05-11,-38.61
2021-05-12,-38.089999999999996
2021-05-13,-38.63285714285714
2021-05-14,-39.214285714285715
2021-05-15,-37.75428571428571
2021-05-16,-40.69
2021-05-17,-27.060000000000002
2021-05-18,-17.669999999999998
2021-05-19,-7.4399999999999995
2021-05-20,3.818571428571429
2021-05-21,16.17142857142857
2021-05-22,31.97142857142857
2021-05-23,41.69571428571429
2021-05-24,32.142857142857146
2021-05-25,32.745714285714286
2021-05-26,32.46
2021-05-27,32.34428571428571
2021-05-28,31.647142857142857
2021-05-29,33.652857142857144
2021-05-30,46.96142857142858
2021-05-31,73.37571428571428
2021-06-01,77.14857142857143
2021-06-02,81.29857142857144
2021-06-03,84.17428571428572
2021-06-04,84.78142857142858
2021-06-05,80.24714285714286
2021-06-06,68.79714285714286
2021-06-07,46.87571428571429
2021-06-08,41.47571428571428
2021-06-09,36.504285714285714
2021-06-10,32.44714285714286
2021-06-11,29.952857142857145
2021-06-12,28.25142857142857
2021-06-13,20.351428571428574
2021-06-14,18.670000000000005
2021-06-15,17.717142857142857
