,TfL tube,TfL bus,Bus excl London,Cycling
2020-10-09,35.4285714285714,57.00000000000003,56.14285714285712,91.42857142857154
2020-10-10,35.99999999999998,58.00000000000003,56.99999999999997,100.85714285714297
2020-10-11,36.57142857142855,59.28571428571432,57.42857142857141,114.5714285714287
2020-10-12,36.57142857142855,59.28571428571432,56.99999999999997,112.2857142857144
2020-10-13,36.57142857142855,59.142857142857174,56.714285714285694,117.00000000000013
2020-10-14,36.57142857142855,59.142857142857174,56.4285714285714,119.14285714285727
2020-10-15,36.85714285714283,59.42857142857145,56.428571428571416,120.00000000000013
2020-10-16,37.14285714285712,59.42857142857145,56.28571428571427,121.00000000000013
2020-10-17,36.28571428571426,58.85714285714288,56.142857142857125,122.71428571428584
2020-10-18,35.99999999999998,58.14285714285716,55.714285714285694,121.00000000000013
2020-10-19,35.857142857142826,57.85714285714288,55.71428571428571,122.85714285714297
2020-10-20,35.57142857142854,57.571428571428584,55.714285714285694,117.00000000000013
2020-10-21,35.14285714285711,56.71428571428574,55.14285714285712,105.57142857142867
2020-10-22,34.71428571428569,56.42857142857146,54.99999999999997,104.2857142857144
2020-10-23,34.14285714285711,55.85714285714288,54.57142857142855,100.2857142857144
2020-10-24,34.14285714285711,55.85714285714288,53.85714285714284,92.42857142857154
2020-10-25,34.428571428571395,56.14285714285716,53.85714285714284,88.42857142857154
2020-10-26,34.57142857142855,56.14285714285716,52.28571428571427,85.85714285714297
2020-10-27,34.714285714285694,55.71428571428573,50.28571428571426,82.14285714285727
2020-10-28,34.99999999999998,56.000000000000014,49.142857142857125,84.85714285714299
2020-10-29,35.14285714285712,55.71428571428573,47.14285714285712,79.5714285714287
2020-10-30,35.4285714285714,55.85714285714286,46.28571428571426,79.71428571428584
2020-10-31,35.71428571428569,56.14285714285716,46.28571428571426,79.14285714285727
2020-11-01,35.57142857142854,56.285714285714306,46.142857142857125,73.00000000000013
2020-11-02,36.14285714285712,56.71428571428573,48.14285714285712,72.42857142857156
2020-11-03,37.14285714285711,58.14285714285715,50.85714285714283,75.28571428571442
2020-11-04,38.4285714285714,59.42857142857143,53.4285714285714,79.42857142857156
2020-11-05,36.85714285714283,58.285714285714285,53.71428571428568,84.71428571428586
