,Belgium,France,Germany,Italy,Netherlands,Poland,Spain,Sweden,Switzerland,United Kingdom
2020-08-25,-11.571428571428571,-8.714285714285714,-5.857142857142857,-6.571428571428571,-1.1428571428571428,4.142857142857143,-21.0,-3.4285714285714284,-9.714285714285714,-19.0
2020-08-26,-11.571428571428571,-8.714285714285714,-7.142857142857143,-7.0,-2.5714285714285716,3.7142857142857144,-21.142857142857142,-3.0,-9.571428571428571,-17.285714285714285
2020-08-27,-10.857142857142858,-8.571428571428571,-6.714285714285714,-7.142857142857143,-2.4285714285714284,3.2857142857142856,-21.285714285714285,-2.4285714285714284,-9.142857142857142,-17.571428571428573
2020-08-28,-10.285714285714286,-8.285714285714286,-5.857142857142857,-7.142857142857143,-2.857142857142857,3.857142857142857,-21.142857142857142,-1.7142857142857142,-9.142857142857142,-16.714285714285715
2020-08-29,-9.428571428571429,-7.714285714285714,-5.142857142857143,-7.0,-2.4285714285714284,4.714285714285714,-21.0,-1.2857142857142858,-9.142857142857142,-16.142857142857142
2020-08-30,-9.571428571428571,-8.571428571428571,-6.142857142857143,-6.714285714285714,-3.142857142857143,10.428571428571429,-20.857142857142858,-0.5714285714285714,-11.857142857142858,-14.571428571428571
2020-08-31,-8.0,-8.285714285714286,-5.428571428571429,-7.571428571428571,-3.5714285714285716,10.428571428571429,-20.428571428571427,-0.42857142857142855,-11.857142857142858,-13.714285714285714
2020-09-01,-7.571428571428571,-8.285714285714286,-5.0,-7.714285714285714,-3.5714285714285716,10.571428571428571,-20.142857142857142,-1.4285714285714286,-12.285714285714286,-14.0
2020-09-02,-6.857142857142857,-8.428571428571429,-3.5714285714285716,-7.857142857142857,-2.2857142857142856,9.857142857142858,-19.714285714285715,-2.142857142857143,-12.428571428571429,-16.428571428571427
2020-09-03,-7.857142857142857,-8.857142857142858,-3.857142857142857,-7.857142857142857,-4.428571428571429,9.428571428571429,-19.428571428571427,-3.2857142857142856,-12.571428571428571,-16.285714285714285
2020-09-04,-8.0,-8.571428571428571,-3.5714285714285716,-7.428571428571429,-4.285714285714286,8.714285714285714,-18.857142857142858,-3.857142857142857,-11.857142857142858,-16.428571428571427
2020-09-05,-7.714285714285714,-7.857142857142857,-3.2857142857142856,-6.428571428571429,-4.142857142857143,8.571428571428571,-18.142857142857142,-3.857142857142857,-11.428571428571429,-16.285714285714285
2020-09-06,-6.0,-7.0,-1.2857142857142858,-5.857142857142857,-3.2857142857142856,1.4285714285714286,-17.857142857142858,-4.714285714285714,-9.571428571428571,-17.142857142857142
2020-09-07,-7.857142857142857,-7.714285714285714,-1.2857142857142858,-5.428571428571429,-3.7142857142857144,0.42857142857142855,-18.0,-5.142857142857143,-9.571428571428571,-20.0
2020-09-08,-8.857142857142858,-8.285714285714286,-1.2857142857142858,-5.428571428571429,-4.285714285714286,-0.7142857142857143,-18.285714285714285,-5.857142857142857,-9.428571428571429,-20.571428571428573
2020-09-09,-9.285714285714286,-8.571428571428571,-1.5714285714285714,-5.428571428571429,-5.428571428571429,-0.5714285714285714,-18.428571428571427,-6.571428571428571,-9.428571428571429,-20.571428571428573
2020-09-10,-8.857142857142858,-8.714285714285714,-1.1428571428571428,-5.428571428571429,-4.285714285714286,-0.2857142857142857,-18.142857142857142,-6.428571428571429,-9.857142857142858,-20.571428571428573
2020-09-11,-8.714285714285714,-9.0,-0.8571428571428571,-5.285714285714286,-4.142857142857143,0.42857142857142855,-18.571428571428573,-6.571428571428571,-10.0,-20.714285714285715
2020-09-12,-8.857142857142858,-9.285714285714286,-0.5714285714285714,-5.0,-4.142857142857143,1.2857142857142858,-18.428571428571427,-7.285714285714286,-9.857142857142858,-20.857142857142858
2020-09-13,-8.428571428571429,-9.285714285714286,0.8571428571428571,-4.857142857142857,-3.2857142857142856,3.4285714285714284,-18.714285714285715,-7.571428571428571,-8.142857142857142,-20.857142857142858
2020-09-14,-8.428571428571429,-10.0,0.5714285714285714,-4.571428571428571,-2.857142857142857,3.7142857142857144,-18.857142857142858,-7.857142857142857,-8.285714285714286,-20.857142857142858
2020-09-15,-8.428571428571429,-10.428571428571429,0.42857142857142855,-4.714285714285714,-2.142857142857143,3.857142857142857,-18.857142857142858,-7.714285714285714,-8.571428571428571,-20.857142857142858
2020-09-16,-8.571428571428571,-10.857142857142858,0.2857142857142857,-4.714285714285714,-1.8571428571428572,3.857142857142857,-19.285714285714285,-7.571428571428571,-8.857142857142858,-21.0
2020-09-17,-8.857142857142858,-11.285714285714286,0.0,-5.0,-2.142857142857143,3.2857142857142856,-20.142857142857142,-7.857142857142857,-8.714285714285714,-21.0
2020-09-18,-9.142857142857142,-11.571428571428571,-0.2857142857142857,-5.142857142857143,-2.5714285714285716,2.7142857142857144,-20.428571428571427,-7.428571428571429,-8.857142857142858,-21.0
2020-09-19,-9.285714285714286,-12.142857142857142,-0.42857142857142855,-5.142857142857143,-2.5714285714285716,2.4285714285714284,-20.714285714285715,-6.571428571428571,-9.142857142857142,-21.0
2020-09-20,-9.571428571428571,-13.285714285714286,-0.5714285714285714,-4.857142857142857,-2.5714285714285716,1.7142857142857142,-21.0,-6.428571428571429,-9.857142857142858,-21.142857142857142
2020-09-21,-10.0,-13.571428571428571,-0.8571428571428571,-5.428571428571429,-2.857142857142857,1.4285714285714286,-21.714285714285715,-6.428571428571429,-10.571428571428571,-21.142857142857142
2020-09-22,-10.285714285714286,-14.0,-1.2857142857142858,-6.285714285714286,-3.142857142857143,0.8571428571428571,-22.285714285714285,-6.428571428571429,-10.857142857142858,-21.571428571428573
2020-09-23,-11.142857142857142,-14.428571428571429,-2.0,-7.0,-3.857142857142857,0.14285714285714285,-23.0,-6.285714285714286,-11.285714285714286,-22.428571428571427
2020-09-24,-12.142857142857142,-15.142857142857142,-2.857142857142857,-7.714285714285714,-4.571428571428571,-0.42857142857142855,-23.714285714285715,-6.428571428571429,-11.857142857142858,-23.285714285714285
2020-09-25,-13.428571428571429,-15.857142857142858,-4.0,-8.857142857142858,-5.285714285714286,-1.2857142857142858,-23.857142857142858,-5.857142857142857,-12.285714285714286,-23.714285714285715
2020-09-26,-14.428571428571429,-16.0,-5.428571428571429,-9.285714285714286,-5.571428571428571,-2.142857142857143,-24.142857142857142,-5.285714285714286,-12.285714285714286,-23.857142857142858
2020-09-27,-17.142857142857142,-18.0,-9.428571428571429,-11.0,-7.571428571428571,-6.857142857142857,-24.714285714285715,-4.285714285714286,-14.0,-24.285714285714285
2020-09-28,-18.857142857142858,-18.571428571428573,-10.142857142857142,-11.571428571428571,-9.285714285714286,-7.714285714285714,-25.142857142857142,-4.142857142857143,-13.285714285714286,-24.571428571428573
2020-09-29,-19.0,-18.714285714285715,-10.714285714285714,-11.285714285714286,-10.571428571428571,-8.142857142857142,-25.428571428571427,-4.0,-13.142857142857142,-24.571428571428573
2020-09-30,-18.428571428571427,-18.428571428571427,-10.0,-11.142857142857142,-10.857142857142858,-8.0,-25.285714285714285,-3.5714285714285716,-12.428571428571429,-24.428571428571427
2020-10-01,-18.285714285714285,-18.285714285714285,-9.428571428571429,-11.0,-12.142857142857142,-8.428571428571429,-25.142857142857142,-3.2857142857142856,-12.142857142857142,-24.0
2020-10-02,-17.428571428571427,-18.571428571428573,-7.714285714285714,-11.0,-12.571428571428571,-8.428571428571429,-25.571428571428573,-4.0,-12.0,-24.714285714285715
2020-10-03,-16.285714285714285,-18.285714285714285,-12.285714285714286,-11.285714285714286,-14.142857142857142,-8.0,-25.285714285714285,-4.714285714285714,-11.857142857142858,-25.571428571428573
2020-10-04,-15.0,-17.857142857142858,-10.285714285714286,-10.571428571428571,-15.285714285714286,-6.428571428571429,-25.428571428571427,-6.285714285714286,-11.0,-26.428571428571427
2020-10-05,-14.0,-17.714285714285715,-9.714285714285714,-10.714285714285714,-16.142857142857142,-6.857142857142857,-25.428571428571427,-6.571428571428571,-11.285714285714286,-27.142857142857142
2020-10-06,-14.571428571428571,-17.714285714285715,-9.571428571428571,-11.142857142857142,-17.428571428571427,-7.142857142857143,-25.428571428571427,-7.428571428571429,-11.428571428571429,-27.714285714285715
2020-10-07,-14.857142857142858,-17.857142857142858,-10.428571428571429,-11.714285714285714,-18.285714285714285,-7.857142857142857,-25.571428571428573,-8.0,-12.0,-27.428571428571427
2020-10-08,-15.285714285714286,-17.714285714285715,-11.142857142857142,-11.857142857142858,-19.0,-8.0,-25.142857142857142,-8.571428571428571,-11.857142857142858,-28.0
2020-10-09,-15.714285714285714,-17.142857142857142,-12.571428571428571,-11.428571428571429,-19.285714285714285,-7.857142857142857,-24.571428571428573,-9.0,-12.0,-27.714285714285715
2020-10-10,-16.285714285714285,-17.142857142857142,-7.142857142857143,-11.285714285714286,-19.428571428571427,-9.0,-24.714285714285715,-9.571428571428571,-12.857142857142858,-27.285714285714285
