,Black 44.2%,Mixed 38.5%,Other 43.1%,South Asian 28.5%,Unknown 28.3%,White 15.5%,All 19.3%
2021-06-27,50.74333224984176,45.450087350966996,48.85975714307983,34.88672433288754,35.062581412470976,19.177937242453368,23.685013548824344
2021-06-28,50.56712230338904,45.17730713825973,48.62594110953502,34.652539016536466,34.75569179362293,19.02165192487773,23.50356254269127
2021-06-29,50.35156450481583,44.86774757103012,48.37186101974966,34.391950453734054,34.394645183213456,18.83724915982981,23.291139529842653
2021-06-30,50.11547739209279,44.56125295001073,48.114663382850374,34.11930823494298,34.000679617149004,18.637595411788965,23.062182875032704
2021-07-01,49.87596872701145,44.22104392067919,47.84499555749536,33.8541278031925,33.59326329501047,18.426664878277776,22.82282602608582
2021-07-02,49.64672471900501,43.93906886934135,47.61897339173539,33.61477663427486,33.285311774367116,18.26307697275439,22.634212981499473
2021-07-03,49.36273587326569,43.62337940969137,47.34930556638037,33.31056531646587,32.869400237866,18.058455477810327,22.395503763689305
2021-07-04,49.22416300275435,43.46400220676128,47.18095802222811,33.156737706705854,32.65241830435521,17.95284117864763,22.271768120623975
2021-07-05,49.08730090842215,43.28623532657002,47.02508066653157,33.00864993313091,32.47437277000623,17.859149472052692,22.16186130712535
2021-07-06,48.940174157015036,43.06862414564624,46.85361557526539,32.82095728987895,32.24394008042137,17.743997098835806,22.026125440055836
2021-07-07,48.73659179169589,42.8356882336715,46.65876888064471,32.6189150561643,32.008197881859886,17.62203891236149,21.8816275046658
2021-07-08,48.53985253109335,42.596622429276366,46.47483360092279,32.407689084553525,31.760774763549875,17.490791039178134,21.72848178880291
2021-07-09,48.31231929926608,42.38207619456279,46.29713341542874,32.20048099827231,31.53246587755565,17.372658017819305,21.58748868074109
