,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West
2020-12-17,24.43159960218458,16.832639078165762,22.93942914183216,23.412003075573534,28.661173295843778,21.4298401437735,27.94895627004911
2020-12-18,24.64288271560493,15.728163843255746,21.3443183702508,22.58780443747355,28.85646672421991,20.454331634018413,25.484670555763394
2020-12-19,23.525779479857622,15.69208880718071,20.37311565991766,21.16356373177195,27.734103742132238,20.48000777232721,23.718157498927756
2020-12-20,22.559117613498177,15.15425634567625,19.909157123599464,21.3591286593279,26.926081935278653,20.603941395668535,22.38824500295592
2020-12-21,22.1310852684847,14.378774673257185,19.153299224884424,20.370154322344764,26.29210053206648,19.70374616245834,21.17071253542345
2020-12-22,21.76878592313451,14.499951670701932,18.03699455254527,20.692402648286695,26.317957028511213,18.175407554287798,19.930282369957926
2020-12-23,20.470153409149425,13.890195573140955,17.47590135945047,19.907765812185794,23.584171449641225,17.136495524869694,17.808641634455803
2020-12-24,18.510264371308146,12.827893660980688,15.782573831920653,18.067778112939212,21.951518388416734,15.219809148332322,16.206995249344853
2020-12-25,17.607855858169753,12.195890454261287,16.033788266341194,18.827915252000118,20.248169106120084,14.850906375787927,15.715463585132776
2020-12-26,17.37594491197309,11.094309062577507,16.138750478570937,18.494342587538434,20.662972228105524,13.660430185311737,14.657262526931719
2020-12-27,16.10520898877373,10.114313103797956,15.091088270011706,16.817065812131897,18.587559270918963,12.513815632146395,12.215194790746336
2020-12-28,15.521750342157187,9.635472051874956,14.187026002313074,15.047101987384185,17.302589260849352,12.01483391062408,12.185629984691463
2020-12-29,14.20381826223346,8.531044094725898,14.825041440521872,14.811890118960639,16.465655296980405,12.092606955325833,11.970210483557677
2020-12-30,14.100646445334778,8.961288844416123,13.606020977106889,13.492118556994738,17.09364572760241,11.559878268336774,12.4758351448222
2020-12-31,14.268178235178508,9.31274642215107,13.785687785744603,13.593264695152047,16.82965953611089,11.623556658474556,12.835907403390697
2021-01-01,14.088148942276613,9.46084592246037,13.65621944663844,12.42603235085929,17.095571841627155,11.603570889476027,13.67281973483973
2021-01-02,14.389252990453258,9.741120501620275,13.2343938529611,12.547417832275576,16.760028341526695,11.84276138686507,15.436488165174824
2021-01-03,14.485988063312487,10.184949330826102,12.870809881166403,13.709327562260425,18.36988549270351,12.443662847341926,18.15105620582982
2021-01-04,14.936450502596538,11.018459882010285,13.482310679832977,14.19057148840231,19.441354717843762,13.154982022562791,18.23642458331327
2021-01-05,15.308719129224428,11.249551815250285,13.165274207923343,13.062391085698748,20.51600163289815,13.417152647636643,19.396666457840855
2021-01-06,16.39806285535735,10.831829413838559,13.56765808913743,14.272372335808269,21.214667624117332,13.83282313376279,20.276123991814227
2021-01-07,17.18181016620381,10.910778823887643,14.215033039843094,14.77087301813248,22.394730969662493,14.626786713456422,20.24766456485856
2021-01-08,17.174221318307673,11.150976684202252,14.641249885015023,14.909817346330934,22.379763486519618,15.27748305105372,20.34908920202185
2021-01-09,17.284082571583415,11.173248369332793,14.943092055789233,15.046471346895535,20.538956324030885,15.34145729782321,19.82537392003685
2021-01-10,17.70018733948176,10.879252925402538,15.817849645253668,14.58371063948651,20.04917963144146,15.351475410114864,19.36996463107792
2021-01-11,17.65726800738832,9.901407617266665,15.533750987063799,14.690637046412917,19.299294026975463,14.442082703487134,19.093346927544896
2021-01-12,17.472757826799658,9.968405918734573,15.456511758038856,15.970186350485381,18.089568339071405,14.104182684779868,18.46865260537158
2021-01-13,16.899034361509926,9.899493183055236,15.727224119541264,15.785275988362642,18.177376511985962,13.928613746790736,18.200756755633904
2021-01-14,16.104249303776662,9.945473035294404,15.396877388574199,15.938595917029897,17.4537336517491,13.931941164714429,18.569058763280175
2021-01-15,16.16321401100892,9.757841561824838,14.843322536099729,16.18516506195525,17.616162689558077,13.157189068376429,17.719564043032626
2021-01-16,15.187991999120417,9.33777574185636,14.674752744624909,16.86658467928082,18.11921714424486,12.647647159464908,16.744161159232792
