,England,Northern Ireland,Scotland,Wales
2021-04-24,7386.623190201572,8998.18786965788,8652.384351686971,7651.872644471472
2021-04-25,7446.713229780822,9214.699009156006,8829.435898240466,7776.973725555958
2021-04-26,7488.669153259644,9269.618907955532,8825.984295206194,7995.957255031263
2021-04-27,7592.430814356048,9073.702730507226,8699.477814298527,8199.671293624471
2021-04-28,7757.472843996168,8843.612495152074,8577.57347076989,8426.946564439313
2021-04-29,7900.505208860513,9955.966764106739,8351.93799665822,8330.436132454543
2021-04-30,7837.87715443166,9479.415938946575,8300.007060097116,8310.137224694365
2021-05-01,7456.9794998474745,9429.17328427558,7893.4762087801455,7647.069777903215
2021-05-02,7252.496719444491,9330.347642205006,8081.980801765548,7510.5958712655965
2021-05-03,6850.5944539649745,8611.334516575513,7765.034738292658,6818.303434507228
2021-05-04,6627.7998964220915,8315.31022689236,7525.305218457709,6362.393591018604
2021-05-05,6523.3352052123455,8464.152205369643,7308.29875193172,6080.746245846144
2021-05-06,6560.915591090447,6936.956557982853,7160.193603552013,5952.7000107339545
2021-05-07,6675.443511178879,7213.743795201886,6771.862113688483,5839.696716194038
2021-05-08,6900.626340695241,7224.607071887507,6559.4839330493605,6367.060527400966
2021-05-09,6965.27973097408,7184.850496794994,6351.42025620308,6729.1785426227
2021-05-10,7244.296393465417,7811.299452332432,6635.576090850375,7530.396368344162
2021-05-11,7489.290966897796,7840.871705532176,6662.038380779801,7651.37423378986
2021-05-12,7725.615681603925,7463.523719549726,6761.402710554322,7715.352041283991
2021-05-13,7805.9286235048285,7031.557592453462,6811.189469472924,7762.112025231542
2021-05-14,7829.367190640931,6845.750297476499,7025.47649118403,7747.612805402844
2021-05-15,7875.5920550967885,6631.954977149777,7193.323762979466,7698.451388171164
2021-05-16,7950.605621991718,6540.371519536283,7318.287481924844,7433.160975367954
2021-05-17,8020.540621172587,6255.436824803032,7296.610368929297,7249.428674101172
2021-05-18,8062.351877804981,5892.271450049032,7328.851479090345,7247.072550879008
2021-05-19,8051.034869590592,5794.200202192737,7484.016724585612,7113.589108331056
2021-05-20,8176.641224497548,5641.058176694061,7582.2566685232105,7114.540619632315
2021-05-21,8257.817091447318,5682.323540215133,7672.99199071205,6972.674815620898
2021-05-22,8578.972414486647,5719.590614400526,7749.97319777947,7145.215531582405
2021-05-23,8727.60617812407,5828.223381256728,7839.270352037362,7145.895182511874
2021-05-24,8927.520531797763,5971.935479076914,7974.222800975863,7314.357992896561
2021-05-25,9081.443518381764,6174.867522718015,8204.64345202141,7490.342273567382
2021-05-26,9157.24386988007,6145.295269518271,8141.913181724284,7609.326496286636
2021-05-27,9146.05630042301,6156.535743311032,8256.809725153034,7696.095264949002
2021-05-28,9125.775023759817,5957.451110162753,8312.13996773274,7812.406194012338
2021-05-29,8747.6590334508,5895.666224013288,8348.957066764984,7287.036025531857
2021-05-30,8638.186838942784,5714.611612586283,8400.652666755572,7117.984184341631
2021-05-31,8258.667326421935,5499.533822095286,8444.425268872032,6394.2012545178095
2021-06-01,7929.829432432851,5744.259305207454,8443.24858601944,6362.665451390391
2021-06-02,7540.919264968464,6348.000994895089,8533.251749988887,6362.393591018604
2021-06-03,7219.375625657145,6390.699707423291,8616.40400490546,6418.532757792845
2021-06-04,7007.354941150835,6583.97550512162,8739.092803669158,6592.795256109008
2021-06-05,7142.788489555461,6669.90100612802,8791.991235020174,7412.5902072359895
2021-06-06,7240.438610894017,6863.025924983492,8947.73174768782,7824.277430247085
2021-06-07,7514.858928492719,7104.205755288547,8983.267569836127,8625.359325782654
2021-06-08,7532.064131158191,6750.998384163032,8986.928360933083,8669.536636198218
2021-06-09,7486.417934088044,6008.448159048027,8968.101435291595,8650.642340358945
2021-06-10,7362.644025902502,5887.745084763357,8831.240145281108,8484.807513568212
2021-06-11,7253.105843008396,6064.0470126404025,8673.172415416115,8241.719031127695
2021-06-12,7035.628426575435,5524.353391745071,8624.82382442846,7888.798958484791
2021-06-13,6934.6230496057005,5299.242158204162,8548.52247856476,7611.229518889152
2021-06-14,6820.722019185123,4820.0509532940205,8251.763063140801,7838.368859518101
2021-06-15,6740.99028268478,5506.776006552366,8079.130614411489,7807.9658079398
2021-06-16,6607.358724823372,5538.762321237803,7881.00337054266,7689.570616026087
2021-06-17,6534.319733481437,5540.874625037785,7664.964398806582,7445.1228317266305
2021-06-18,6355.379534524878,5259.862780218788,7491.4429008108655,7171.40474739799
2021-06-19,6218.534849863871,5825.054925556756,7298.414615969939,6985.678803404761
2021-06-20,6075.142086890883,6049.034567776246,7057.613007313738,7005.388680359398
2021-06-21,5959.206837568347,6203.383624017769,6947.187858724842,6552.605231146336
2021-06-22,5737.989656254491,5390.222100446232,6641.014980480139,6392.84195265887
2021-06-23,5649.684505592182,5240.7011671760965,6250.6439070054475,6254.193163046945
2021-06-24,5512.007352060503,4999.1441397639,6007.802714738084,6201.814731415773
2021-06-25,5391.740980397117,4847.133705586643,6023.413373915818,6077.393301260758
2021-06-26,5224.155859877692,4673.849354566714,5874.026948652175,5686.911187249132
